anos_unicos|CHIRPS_x_ERA5|CHIRPS_x_PERSIANN|CHIRPS_x_ReferenceData|ERA5_x_PERSIANN|ERA5_x_ReferenceData|PERSIANN_x_ReferenceData
1983|10.90293|6.767696|7.933333|10.404117|14.084086|9.484244
1984|11.865717|7.854473|9.513222|11.891845|13.912589|9.732225
1985|11.526999|6.887728|8.781314|11.206809|13.592241|10.422486
1986|12.070942|6.784956|8.539192|11.610293|13.864925|10.040855
1987|10.126049|6.378939|8.082027|9.874426|11.962629|9.305938
1988|10.706255|7.266825|7.861124|10.594774|13.553603|10.262708
1989|11.463816|8.294854|10.244181|11.412193|14.248298|9.900238
1990|11.536184|7.619319|9.561045|9.991924|13.070309|9.942676
1991|10.408393|7.021694|9.079493|9.661916|13.302296|9.884244
1992|12.285194|10.64323|9.04038|16.552811|16.498654|9.639588
1993|11.571655|7.216152|8.64228|11.596675|14.607918|9.346635
1994|11.765321|7.905938|9.792874|10.702454|14.892795|12.817419
1995|11.092795|7.254315|8.189865|9.634204|13.384956|10.227078
1996|11.596041|6.954553|9.908472|11.097229|15.516548|10.035788
1997|9.874584|6.266825|8.867142|9.399683|12.401267|9.48171
1998|10.676326|6.815835|9.194299|10.717815|12.254473|10.471892
1999|10.581631|6.899287|9.975455|9.192716|12.268884|10.695487
2000|10.428504|7.669042|8.345051|10.887094|12.034363|11.900713
2001|10.843072|8.401584|8.876801|10.789549|12.177831|10.693745
2002|9.670625|7.255424|8.136817|9.114806|10.138717|9.399525
2003|11.210451|7.607126|8.336659|10.962312|11.503721|9.299287
2004|9.618844|7.057799|7.474109|11.068092|10.47791|9.630879
2005|9.368804|6.366904|8.493587|9.569755|11.276168|10.45194
2006|10.321774|7.166271|10.3327|10.648139|12.795408|12.839905
2007|9.03943|7.007443|10.263816|8.053523|10.351227|10.074426
2008|10.427078|7.38464|10.031512|9.710372|13.027712|13.410768
2009|10.361995|8.755028|10.34901|10.600158|14.116865|14.905463
2010|9.179572|7.281077|9.548535|9.006334|11.094537|10.572763
2011|10.854157|8.220586|10.056374|11.0038|14.097546|14.076801
2012|10.558353|8.007918|10.856374|9.884719|11.178464|11.291211
2013|11.241964|8.778939|12.979889|12.025337|11.801584|13.744893
2014|15.666033|8.762945|15.492795|14.904671|11.564212|13.247981
2015|15.27015|10.733967|15.355661|12.804434|12.090261|10.592557
2016|10.951227|22.399842|12.21346|22.715123|12.719398|15.888678
2017|12.295012|8.155978|12.089786|11.487569|11.166429|13.06825
2018|13.878226|7.755344|12.163262|12.382264|12.593191|11.528424
2019|15.095804|8.036263|12.21346|13.214727|12.480443|10.966429
2020|11.810293|12.764846|10.633254|11.687094|10.742201|11.18274
2021|13.995566|10.871101|12.289311|11.606492|12.896437|12.109264
2022|12.903088|10.98464|9.501821|10.509105|10.561045|9.853048
Geral|11.3760213776722|8.30643309580364|9.9809936658749|11.2544338875693|12.6575534441805|11.0605225653207
