anos_unicos|CHIRPS_x_ERA5|CHIRPS_x_PERSIANN|CHIRPS_x_ReferenceData|ERA5_x_PERSIANN|ERA5_x_ReferenceData|PERSIANN_x_ReferenceData
1983|13.954774|8.706656|10.287806|13.51786|17.760619|12.192316
1984|15.259829|10.00091|11.795392|15.47055|18.315637|12.397194
1985|15.084733|8.749944|10.947047|14.795855|17.842014|13.217302
1986|15.76275|8.709738|10.656376|15.290054|18.574917|12.713482
1987|13.293412|8.074426|10.060356|12.823196|15.770002|11.768088
1988|14.208469|9.321817|9.898831|13.580539|17.752852|13.326516
1989|14.823031|10.370309|12.968944|15.15726|18.579746|13.097007
1990|14.692741|9.716292|12.442476|12.989922|17.861076|13.459726
1991|13.277637|8.977847|11.667205|12.413201|17.268079|12.919208
1992|16.284053|13.026862|11.914023|20.894377|21.754016|12.512164
1993|15.154109|9.083618|11.56597|15.055921|19.247741|12.321646
1994|15.001093|10.295184|12.643388|13.767174|19.43115|16.517502
1995|14.042222|9.361289|10.595529|12.190608|17.084124|13.115239
1996|15.035587|8.969606|12.299161|14.350896|19.96945|13.056319
1997|12.855208|8.116735|11.178151|12.07853|16.642779|12.115811
1998|13.451599|8.618326|11.435329|13.582095|15.74427|13.044622
1999|13.604905|9.077715|12.573678|12.05075|17.168809|14.234769
2000|13.625218|9.990367|10.755948|13.772153|15.863007|15.208037
2001|13.971955|10.56983|11.166394|13.827623|16.283509|14.062551
2002|12.415147|9.448364|10.523405|11.667524|14.039386|12.647433
2003|14.28391|9.606419|10.515486|14.036729|15.628577|12.37029
2004|12.362722|9.063688|9.742179|13.76389|14.122841|12.573666
2005|12.135511|8.209384|10.868967|12.438409|14.91623|13.374619
2006|13.268385|9.291215|13.14542|13.547062|16.951484|16.390088
2007|11.492819|8.963496|12.843291|10.40566|14.180401|13.842697
2008|13.45466|9.668553|12.401983|12.524908|17.526941|16.84754
2009|13.352366|11.090829|13.146678|13.326546|18.787371|18.632182
2010|11.598229|9.152495|11.937214|11.645088|14.893733|13.574398
2011|14.177531|10.821747|12.529844|13.948321|18.666613|18.09341
2012|13.230666|10.123372|13.875889|12.501465|15.199314|14.965444
2013|14.39545|11.197747|17.054122|15.171649|15.776512|17.3183
2014|19.052467|10.906338|18.387743|18.313471|15.601663|16.599407
2015|18.839653|13.578341|18.185675|16.405955|16.567107|13.383757
2016|14.271893|24.406822|15.49877|26.621181|16.944785|18.875552
2017|15.135561|10.268656|14.910379|14.300795|14.888426|16.368519
2018|16.978907|9.782261|15.16704|15.23085|16.872603|14.781995
2019|18.479262|10.184016|15.081074|16.372645|16.62932|14.26066
2020|14.546401|16.696015|13.956731|14.982365|14.569521|15.338188
2021|17.098309|14.32094|15.701415|14.233674|16.911324|16.504056
2022|15.346053|14.793988|12.392205|12.865422|13.464272|12.781828
Geral|11.3760213776722|8.30643309580364|9.9809936658749|11.2544338875693|12.6575534441805|11.0605225653207
