anos_unicos|CHIRPS_x_ERA5|CHIRPS_x_PERSIANN|CHIRPS_x_ReferenceData|ERA5_x_PERSIANN|ERA5_x_ReferenceData|PERSIANN_x_ReferenceData
1983|0|0|0|0|0|0
1984|0.458025|0|0|0|0|0
1985|0|0|0|0|0|0
1986|5.5e-05|0|0|0.371037|0|0
1987|0.000213|0.241863|0|5e-06|0|0
1988|0|0|0|0|0|0
1989|0|0|0|0|0|0
1990|2.6e-05|0|0|0|0|0
1991|0|0|0|0|0|0
1992|0|0|0|0|0|0
1993|0|0|0|0|0|0
1994|0|0|0|0.065366|0|0
1995|0|0|0|0|0|0
1996|0|0|0|0|0|0
1997|0|0.266341|0|0|0|0
1998|1e-06|0|0|0|0|0
1999|0|0|0|0|0|0
2000|0|0|0|0|0|0
2001|0|0|0|0|0|0
2002|0|0|0|0|0|0
2003|0|0|0|0|0|0
2004|0|0|0|0|0|0
2005|0|0|0|0|0|0
2006|0|0|0|0|0|0
2007|0|0|0|0|0|0
2008|0.001319|0|0|0|0|0
2009|0|0|0|0|0|0
2010|0|0.879801|0|0|0|0
2011|0|0|0|0|0|0
2012|0|0|0|0|0|0
2013|0|0|0|0.001213|0|0
2014|0|0|0|0|0|0
2015|0|0|0|0.002556|0|0
2016|0|0|0|0|0|0
2017|0|0|0|0|0|0
2018|0|0|0|0|0.224704|0
2019|0|0|0|0|0|0
2020|0|0|0|0|0|0
2021|0|0|0|0|0|0
2022|0|0|0|0|0|0
Geral|0|0|0|3.09251092316021e-19|0|0
